268	Istennek Báránya 
269	Krisztus, ártatlan Bárány 
281	Mondjatok dicséretet 
282	Hálát adunk neked, örök Úr Isten 
283	Áldott az Úr Isten örökké a mennyben 
284	Adjunk hálát az Úrnak, mert érdemli 
285	Hálaadásunkban rólad emlékezünk 
286	Fényességes mennybéli nagy Isten 
287	Adjunk hálákat az Atya Istennek 
288	Áldjuk Istent végével 
289	Ó, maradj kegyelmeddel 
290	Vezess, Jézusunk 
291	Hű pásztorunk, vezesd a te árva nyájadat 
292	Uram, bocsássad el szolgádat békével 
293	Uram, bocsásd el népedet békével 
294	Hirdetvén az Úr halálát 
295	Tartsd meg e gyülekezetnek 
296	Atya, Fiú, Szentlélek, teljes Szentháromság 
297	Tarts meg, Urunk, szent igédben 
298	Adj békét a mi időnkben 
299	Az Úr Jézus Krisztusnak kegyelme 
300	Dicsőség az Atyának 
301	Dicsőség légyen Atyának 
302	Dicsőség légyen Atyának 
311	Csak egyedül a Szentírás 
312	Uram, a te igéd nekem 
313	Megáll az Istennek igéje 
314	Emeld fel szíved, füled nyisd meg 
315	Boldogok, akik lelki szegények 
321	Hiszek a mennybéli egy Istenben 
322	Hiszek egy Istenben 
323	Hiszünk egy Istenben 
324	Hiszünk egy Istenben 
325	Uram, kegyes indulatomban 
326	Mindenható Úr Isten 
327	Hisszük: az Úr világ ura 
331	Mi kegyes Atyánk, kit vallunk hitünkben 
332	Mennybéli felséges Isten 
333	Mi Atyánk, ó, kegyes Isten 
334	Imádkozzatok és buzgón kérjetek 
341	A keresztségben elpecsételtettünk 
342	Úr Isten, kérünk tégedet 
343	Ó, örök Isten! Ki Atyánk vagy nékünk 
344	Szenteltessék, Uram, a te szent neved 
345	Jöjj, térj be, kapum tárva 
346	Úr Jézus, üdvösség fejedelme 
347	Mi kegyes Atyánk, bölcsességnek Ura 
351	Lelkem siet hozzád menni 
352	Örülj, szívem 
353	Ó, én lelkem, dicsérjed Istenedet 
354	Készülj Urad elé, lelkem 
355	Én lelkem, ébredj fel 
356	Ó, üdvösséges áldozat 
357	Buzdulj mély hálára, lelkünk 
358	Az Úr énnékem hűséges vezérem 
359	Ó, Istennek választott kedves népe 
360	Jer, lássuk az Úr keresztjét 
361	Üdvösségünk, váltságunk 
362	Ó, Jézus, mi üdvösségünk 
363	Hallottuk, Jézus, miképpen hívogatsz 
364	Lelkem, adj dolgot magadnak 
371	Új világosság jelenék 
372	Mennyei Ige, jelenél 
373	Csillagoknak teremtője 
374	Ó, népeknek Megváltója 
375	Jöjj, népek Megváltója 
376	Ó, jöjj, ó, jöjj, Immánuel 
377	Kapuk, emelkedjetek 
378	Jézus, születtél üdvösségünkre 
379	Ó, jöjj, ó, jöjj, Üdvözítő! 
380	Szent Ézsaiás így ír 
381	Küldé az Úr Isten 
382	Áldott Izráelnek Ura 
383	Magasztalja az én lelkem 
384	Áldott az egek Ura 
385	Szép Hajnalcsillag, Jézus, ragyogj fel 
386	Jöjj, áldott nagy Királyunk 
387	Áldott az Isten, mindnyájunknak Atyja 
388	A jöttöd miként várjam 
389	Kitárom előtted szívem 
390	Várj, ember szíve, készen 
391	A sötétség szűnni kezd már 
392	Álmélkodással csudáljuk 
393	Dicséretet mond nyelve mindennek 
394	Igaz Isten, ígéretedben 
395	Jer, áldott vendég 
401	Krisztus Urunknak áldott születésén 
402	Teljes e széles világban 
403	Jer, mindnyájan örüljünk 
404	Kezdetben volt az Ige 
405	A mennyből jöttem hozzátok 
406	Az Istennek szent angyala 
407	Hogy eljött az időknek teljessége 
408	Ez nap nékünk dicséretes nap 
409	Jer, dicsérjük e szent napon 
410	Jöjj, Isten népe, áldjuk őt 
411	Csillagfényes éjszakán 
412	Itt állok jászolod felett 
413	Istennek szent Fia 
414	Ó, jöjjetek, hívek 
415	Hadd zengjen énekszó 
416	Halld, mint zeng az egész ég 
417	Jöjjetek Krisztust dicsérni 
418	Szívünk vígsággal ma betelt 
419	Dicsőség mennyben az Istennek 
420	Dicsőség a magas mennyekben 
421	Örvendjetek, keresztyének 
422	Karácsony ünnepében 
423	Dicsőség az Istennek 
431	Az Úr nagy kegyességét mindnyájan áldjátok 
432	Ismét egyik esztendeje 
433	Az esztendő fordulóján 
434	Megszületett a mennyei Király 
435	Új esztendő virradott 
436	Örök Isten, kinek esztendők 
437	Úr Isten, ki minket sok áldásiddal töltél be 
438	Áldjuk a nagy Isten jóságát 
439	Ez esztendőt megáldjad 
440	Ez esztendőt áldással 
441	Dicsérjük Istent e mai napon 
442	Gonosz, kegyetlen Heródes 
443	Krisztus, Atya Istennek egyetlenegy Fia 
444	Jer, dicsérjük az Istennek Fiát 
445	Szép, tündöklő hajnalcsillag 
446	Jézus, édes emlékezet 
447	Jézus Krisztus, egy Mesterünk 
448	Dicsérlek téged, Üdvözítőmet 
449	Jézus, vigasságom 
450	Zengj, nyelvem, ékesen 
451	Ó, dicsőségnek felkent fejedelme 
452	Ki utánam jön, szól az Úr 
453	Jézusom, ki árva lelkem 
454	Krisztus, jóságos főpapunk 
455	Ó, Jézus, mi Üdvözítőnk 
456	Győzhetetlen én kőszálom 
461	A töredelmes szívet, te, Uram, szereted 
462	Bocsásd meg, Úr Isten 
463	Ó, mennyeknek fényessége 
464	Ó, mi kegyelmes Krisztusunk 
465	Úr Jézus, hozzád kiáltok 
466	Atyám, kegyelmezz 
467	Mennynek és földnek nemes teremtője, és mindeneknek 
468	Végtelen irgalmú szentséges Úr Isten 
469	Vedd el, Úr Isten, rólunk haragodat 
470	Hatalmas Isten, könyörgünk 
471	Kegyelmezz meg nékünk, nagy Úr Isten 
472	Jöjj, szabadíts meg 
473	Tisztítsd meg szíved, Jeruzsálem népe
474	Ó, irgalmas Isten, Én könyörgésemben 
475	Én Istenem! Sok nagy bűnöm 
476	Ó, áldandó Szentháromság! 
477	Uram, bűneink soksága 
481	Örvendezzen már e világ 
482	A nagy király jön, hozsánna, hozsánna 
483	Dicsérd lelkem Istenedet 
