Maradj velem, mert mindjárt este van	452
Maranatha, Jézus eljön	458
Még egyre hangzik	220
Még egyszer hív	337
Még utam ködbe vész	401
Megfáradt szív, ó jöjj	218
Megleltem a drága dicső	219
Megváltóm él	152
Megváltómnak keresztjén	315
Mely igen jó	30
Mely minket egyesít	180
Mélyen meghajlok	351
Menj elől Urunk	78
Menj, töröld le	336
Mentsd, aki elmerül	430
Mennyben hangzik	471
Mennyből az angyal	116
Mennyből jövök most	117
Mért késel Jézus	459
Messze szakadtam	283
Messzi hang	472
Mi hozzád von	489
Mi tesz bűntől tisztává	319
	
Miért, hogy Ő	316
Míg Jézust nem ismertem	317
Mikoron Dávid	79
Mily drága nekünk	318
Mily édes a Te neved	31
Mily jó, ha bűntől	304
Mily nagy az Úr	32
Mind adjon hálát	33
Minden lépés	35
Mindenem Jézus	402
Mint a szép híves patakra	244
Mint fáradt vándor	245
Mintha szárnyon szállna	484
Mit Isten tesz	403
Mondd, még mire vársz	221
Mondd, ott lellek	473
Mondjatok akármit	320
Most még sötét	474
Most, most még ifjú	512
Munkára fel, munkára fel	431
Mutasd meg	352
Nagy irgalomban	321
Nagy Isten, ég és föld Ura	38
Nagy Istenem, ha	37
Nagy Úristen dicsérünk	39
Nagy vagy Te Isten	40
Nagyszerű dolgot	166
Ne csüggedj el	404
Ne félj, mert enyém vagy	405
Ne kutassad szenvedésem	246
Ne mondjátok nekem	406
Ne rettegj bármi sújt	407
Ne szállj perbe	266
Néked szóljon a dal	42
Nem a kincset	475
	
Nem csábít földi kincs	322
Nem láthat bár	353
Nem látod-é	222
Nem sújt a törvény	323
Nem szűnik boldog ajkam	41
Nem tudom még	444
Nézz szét, szívem	43
Nincs helyed	223
Nincs Krisztusban	181
Nincs más, ami úgy	409
Nincsen sehol a világon	408
Nyájas világ	247
Nyájasan, gyengéden	224
Ó, adj olyan hitet nekem	80
Ó, Ábrahám Ura	45
Ó, Betlehem kis városa	118
Ó, egy a szükséges	248
Ó, fogd kezem	410
Ó, hála az Úrnak	47
Ó, hogy volt idő	356
Ó, hogyha tudnád bűnnek	226
Ó, hogyha tudnád, ki az	227
Ó, jertek, zengjünk éneket	119
Ó, Jézus, amikor sokan	81
Ó, jöjj, ó, jöjj, Immánuel	99
Ó, jöjj szívembe, áldott	249
Ó, jöjjetek hívek	120
Ó, maradj kegyelmeddel	73
Ó, mi hű barátunk	412
Ó, miként fogadjalak	101
Ó, miként fogadjalak	129
Ó, nagy Isten, vezess	82
Ó, örök Isten	501
Ó, segíts Jézus	83
	
Ó áldott nap	284
Ó boldog nap	324
Ó csak levél!	432
Ó drága kincs	354
Ó forrongó, gazdag árja	325
Ó hadd szeresselek	355
Ó halld, te zaklatott	46
Ó Jézus, árva	285
Ó Jézus, drágább vagy	411
Ó Jézusom, mi édesen	413
Ó jöjj, teremtő Szentlélek	167
Ó jöjjetek, kik megterheltettetek	228
Ó jöjjetek mind ide	513
Ó jöjjetek, örvendjetek	229
Ó jöjjön el Urunk a Te	460
Ó ne félj, ne rettegj	414
Ó ne menj el tőlem	286
Ó nézd, ajtódnál állok itt	230
Ó nézd, ki gondtalan	231
Ó Sion, ébredj	433
Ó terjeszd ki Jézusom	454
Ó vérző, drága szent fej	141
Od'adtam életem	139
Oly szép a Jézus	44
Oly szép az Ő neve	492
Ott a messze földön	225
Ott függ a néma Bárány	140
Öröm van a mennyben	514
Örülj föld és örülj ég	121
Örvendj, világ	122
Pásztorként vezetni	415
Porból kiáltok	250
Rád tekint már hitem	84
Rajta, felKrisztusért	434
Rólad szól énekem	416
Semmit ne bánkódjál	182
	
Semmim sem lenne	49
Siessetek, hamar lejár	232
Sújtson bár próba	417
Súlyos napokban	418
Szegény szívünk	419
Széjjeljártam a világban	233
Szelíd szemed, Úr Jézus	85
Szent, örök Isten	86
Szent, szent, szent, szent	51
Szent, szent az Úr	50
Szent az Isten	493
Szent bizonyosság	326
Szent győzedelmes	357
Szent országodat	435
Szent Úrnak és Királynak	436
Szent vagy, szent vagy	52
Szentlélek Isten, tűz és fény	154
Szentlélek Isten, üdv és béke	168
Szenvedésben engedelmes	494
