Ma hív Atyád szerelme	125		+	
Magára vette	124		+	
Magasság, mélység	123	*		
Markaimba metszettelek	126		+	
Még ma, még Jézus hív	129		+	
Meglátogatta népét az Úr	282		+	
Megtörtént, Jézusom	127	*		
Megváltóm engem	416		+	
Megváltómnak keresztjén	280	*		
Megváltva!	415		+	
Mely minket egyesít	128	*		
Mélyen meghajlok	133	*		
Menedékem az Isten	417		+	
Menjetek be kapuin	130		+	
Menjetek ezt elbeszélni	281	*		
Mennyben lakó én Istenem	283	*		
Mennyből az angyal	284		+	
Mért félig	132		+	
Mért késel, Jézus?	286	*		
Messze szakadtam	131		+	
Messziről száll dalunk	285		+	
Mi boldogságra vágyunk	418		+	
Mi édes a te neved	134	*		
Mi hozzád von	419		+	
Mi tesz bűntől tisztává?	291	*		
Mi várjuk az Úr Jézust	289		+	
Miért hogy Ő	420	*		(csak újabb H-ban, 382)
Míg Jézust nem ismertem	135	*		
Mily drága nekünk ez a jó hír	138	*		
Mily jó, ha bűntől	287		+	
Mindeddig megőrzött az Úr	288		+	
Minden lépés	290	*		
Minden nap veled leszek	421		+	
Minden szerinted legyen	422		+	
Minden, mi él	423		+	
Mindig velem, Uram	139	*		
Mindnyájan vétkeztek	424		+	
Mint fáradt vándor	136		+	
Mint szarvas a hűs forrásra	137		+	
Mit árt ember nekem	425		+	
Mit is mondhatnék	426		+	
Mond, még mire vársz	140		+	
Mondd ott lellek	141	*		
Mondjatok akármit	142	*		
Most keljetek fel	427		+	
Most még sötét	143	*		
Most, most, még ifjúkorodban	144	*		
Munkára fel, munkára fel!	428	*		
Mutasd meg, hadd lássam	292		+	
				
Nagy Istenem	145	*		
Nagy vagy Te, Isten	146	*		
Nagyszerű dolgot sejtet	147		+	
Ne aggodalmaskodjál	429		+	
Ne csüggedj el	430		+	
Ne csüggedj lelkem	431		+	
Ne félj, az Úr veled	432		+	
Ne félj, mert enyém vagy	433		+	
Ne félj, mert megváltottalak	434		+	
Ne félj, ne aggódj	435		+	
Ne fordulj vissza	436		+	
Néked áldozunk	294		+	
Nem értem én	148		+	
Nem hagyjuk el a Bibliát	149	*		
Nem hallod-e	437		+	
Nem láthat bár e földi szem	293	*		
Nem látod-é, hogy csónakod	438	*		
Nem szeret senki	150		+	
Nem tudod, hogy mikor jön	439		+	
Néma éjben szolgaságban	440	*		
Némán állt Pilátus udvarában	295		+	
Nincs elég olaj korsódban	151	*		
Nincsen sehol a világon	441	*		
Nyájas világ	152	*		
Nyisd meg a menny kapuját	442		+	
				
Ó, Ábrahám Ura	154	*		
Ó, Betlehem kis városa	155	*		
Ó, csak levél!	296	*		
Ó érthetetlen kegyelem	297		+	
Ó, forrongó, gazdag árja	443	*		
Ó, hála az Úrnak	300	*		
Ó, hogyha tudnád, ki az	156	*		
Ó, Jehova, vezess minket	158	*		
Ó, Jézus, árva csendben	302		+	
Ó, Jézus, drágább vagy nekem	159	*		
Ó, Jézus, éltem fénye, Te	303	*		
Ó, jöjjetek, kik megterheltettetek	160	*		
Ó, mi hű barát a Jézus	162	*		
Ó mily boldog ember	444		+	
Ó, ne félj, ne rettegj	164	*		
Ó ne hagyj	163		+	
Ó, nézd, ajtódnál állok itt	165	*		
Ó Sion ébredj	166		+	
Ó terjeszd ki	168		+	
Ó Urunk Jézus, légy velünk	445		+	
Ó, én hiszek Jézusban	446		+	
Ó, hadd szeresselek	301	*		
Ó, hogy volt idő	157	*		
Ó, jertek zengjünk éneket	298		+	
Ó, jöjj szívembe	447		+	
Ó, jöjjetek, örvendjetek	448	*		
Ó, jöjjön el Urunk	299		+	
Ó, maradj kegyelmeddel	161		+	
Ó, Uram, a te igéd lámpás	449		+	
Od'adtam életem	153	*		
Olyan kincsre vágyunk	304		+	
Olyan örömöt, mint a forrás	305		+	
Ott a messze földön	167	*		
Örvend a kietlen	450		+	
Örvendezve élni jó	306		+	
Örvendj pusztaság	169		+	
Örvendjetek, mert Isten úgy szeret!	451		+	
Ösmérek egy drága	170	*		
				
Pásztorunk a Jézus	171	*		
Porból kiáltok	452	*		
				
Rád bízom	307		+	
Rád tekint már hitem	453		+	
Ragyogsz-e még, égi fény	309	*		
Rólad szól énekem	172	*		
Rút volt szívem	308		+	
				
Semmi sem kívánok lenni	310	*		
Semmim se lenne	311		+	
Siessetek, hamar lejár	173		+	
Soha nem fél már a szívem	454		+	
Sújtson bár próba	455		+	
Súlyos napokban	456		+	
				
Szegény szívünk reménye	457	*		
Széjjeljártam a világban	178	*		
Szelíd szemed, Úr Jézus	458	*		
Szemednek lángja	459		+	
Szemeimmel tanácsollak	460		+	
Szent, szent, szent, szent, szent az Úr neve	461	*		
Szent bizonyosság	174	*		
Szent vagy, szent vagy	176		+	
Szent, győzedelmes élet	175	*		
Szentlélek Isten, jöjj szívünkbe	462		+	
Szenvedésben engedelmes	463		+	
Szépséges Jézus	313	*		
Szeret a Jézus	464		+	
Szeret az Isten	312		+	
Szeretnék énekelni Néked	177		+	
Szeretsz-e hőn?	465		+	
Szívből köszönöm	466		+	
Szíved békétlen és üres	314	*		
Szívem csendben	467		+	
Szívem ne rettegj	468	*		
Szívem örömmel van tele	469		+	
Szívem tele van Veled	470		+	
Szívem zeng a nagy csodáról	179		+	
Szívemben öröm dalol	315		+	
Szívünk egészen	180	*		
Szívünk zengje már	471		+	
Szívvel elhiszem	472		+	
Szólj, Uram, szólj nekem	473		+	
Szólj, Uram, mert várok	181	*		
Szoros kapu, keskeny út	182		+	
				
Találkoztam Teveled	474		+	
Taníts, Uram, meghajlani	183	*		
Tanúd vagyok, Uram	185		+	
Tarts vérző oldaladnál	184	*		
Távoli fény világol	316	*		
Te csak az Istennek	186		+	
Te vagy napvilágom	191	*		
Tégy eggyé Urunk	187		+	
Tégy engem békeköveteddé	189		+	
Tégy foglyoddá, Uram	475	*		
Tégy újjá lelkem mélyén	317		+	
Tégy Uram engem áldássá	192		+	
Tegyél engem pecsétnek	476		+	
Teljes szívből	477		+	
Térded, fejed hajtsd meg	193		+	
Teremtő nagy Király	188	*		
Teremts bennem tiszta szívet	478		+	
Testvérek, lépjünk egyesülve	190	*		
Testvérek, menjünk bátran	318	*		
Tied örökre	319	*		
Tiszta égi béke	195	*		
Tisztítsd meg szíved	479		+	
Több szentséget árassz	196	*		
Törvénytől menten	197	*		
Tudom az én Megváltóm él	198	*		
Túlárad szívem	480		+	
Tündököl Atyánk kegyelme	199	*		
Tüzed Uram Jézus	194		+	
				
Úgy kutattuk a homályba	200	*		
Új szívet adj	320		+	
Új szövetséged elfogadom	201		+	
Úr Jézus nézz le rám	205		+	
Úr Jézus, Megváltóm	481		+	
Úr Jézus, Úr Jézus	206		+	
Uram Isten, siess	203		+	
Uram, a csendet vágyom én	482		+	
Uram, maradj velem	483		+	
Uram, mindent eltékozoltam	484		+	
Uram, ó, add, ha vándorutam	485	*		
Uram, segélj	202	*		
Uram, Te jól ismersz engem	204		+	
Uram, Tehozzád futok	321		+	
Üres kézzel kell-e mennem	322	*		
Űzd el a kísértőt	207	*		
				
Vágyol-e elhagyni bűneidet	209	*		
Vágyom melletted élni	486		+	
Válasszatok	487		+	
Van még hely ott	208	*		
Van még számomra is	323		+	
Vándor áll ajtód előtt	210	*		
Vándor vagyok	488		+	
Vándorutam Jézusommal járom	324	*		
Várlak Uram	489		+	
Várom Őt	490		+	
Vége van már a szolgaságnak	325		+	
Végig megálld a nagy tusát	491	*		
Velem vándorol utamon	492		+	
Vesd az igét	211	*		
Vezess, Jézusunk	493		+	
Vígan nevetünk	494		+	
Világíts nékem, Jézus	212	*		
Volna sok okom	495		+	
Vonj öröm és búbánaton át	213	*		
				
Záporként hull majd az áldás	214	*		
Zengd Isten nevét	496		+	
Zengd Jézus nevét	497		+	
Zengj halleluját az Úrnak	498		+	
Zengjen az ének	216		+	
Zengjen Felőled	499	*		
Zengjen hálaének	215	*		
Zengjünk dalt az Úrnak	500		+	
Zörget a Jézus	217		+	
