Jővel, légy velünk, Úr Isten	389
Jővel ó áldott Szentlélek	170
Jővel Szentlélek Isten	368
Jővel Szentlélek Úr Isten, lelkünknek	369
Jővel Szentlélek Úr Isten, töltsd bé	370
Jővel teremtő Szentlélek	373
	
Kapuk, emelkedjetek	304
Karácsony ünnepében	182
Kegyelmes Isten, kinek kezében	261
Kegyelmezz meg nekem, én Istenem	56
Kegyelmezz meg nékünk, nagy Úr Isten	224
Kegyes Jézus, én imádságomra	441
Kegyes Jézus, itt vagyunk	164
Kegyes lelkek, az Urat dícsérjétek	306
Keserves szívvel Magyarországban	385
Kezdetben volt az ige	319
Kiáltásom halld meg Isten	61
Ki hívta az éjszakát elő	498
Ki Istenének átad mindent	274
Királyi zászlók lobognak	344
Könyörgünk néked, ó Isten Fia	383
Könyörögjünk az Istennek Szentlelkének	372
Könyörülj rajtam, Úr Isten	157
Krisztus, ártatlan Bárány	184
Krisztus, én életemnek	416
Krisztus feltámada igazságunkra	353
Krisztus feltámadott	185
Krisztus ím feltámada	352
Krisztus, ki vagy nap és világ	500
Krisztus Urunknak áldott születésén	315
Krisztusom, kívüled nincs kihez járulnom	226
Küldé az Úr Isten	310
	
Látod Úr Isten szívünket	428
Lelkem, adj dolgot magadnak	443
Lelkem drága Jézusa	300
Lelkem hozzád kíván menni	427
Lelkem siet hozzád menni	435
Lelki próbáimban	338
Lelkünk, testünk teremtője	281
Légy csendes szívvel és békével	270
Légy irgalmas, Úr Isten, minékünk	221
Légy ítélőm Uram	26
	
Magamban elvégezém és mondám	39
Magasztallak én téged	487
Magasztallak téged én Istenem	145
Maradj velem, mert mindjárt este van	511
Már elmégyek az örömbe	419
Már keresztem vállra vettem	426
Már nyugosznak a völgyek	503
Megáll az Istennek Igéje	171
Meghagytad nékünk, Úr Isten	211
Meghódol lelkem tenéked, nagy Felség	251
Megszabadltam már én a testi haláltól	414
Megújult testtel és erővel	499
Mely igen jó az Úr Istent dícsérni	255
Menj el a te nyugalmadba	413
Mennybéli felséges Isten	483
Mennybéli Úr Isten, hallgass meg engemet	203
Mennyei Ige jelenél	309
Mennyei seregek, boldog, tiszta lelkel	252
Mennyit zengi a lelki békét	472
Ments meg Uram, engem	364
Mély gyászba borult a természet	355
Mi Atyánk, ó kegyes Isten	484
Mi kegyes Atyánk, bölcseségnek Ura	432
Mi kegyes Atyánk, kit vallunk hitünkben	482
Mi szent Atyánk, ki lakozol mennyégben	497
Miért vetsz minket így el, Úr Isten	74
Miért zúgolódnak a pogányok	2
Míglen felejtesz el Uram	13
Mikoron Dávid nagy búsultában	263
Mikor a Siont az Isten	126
Mily jó, ha bűntől már szabad	467
Mind jó, amit Isten tészen	272
Minden ember csak halandó	405
Minden teremtett állatok	160
Mindenek meghallják, és jól megtanulják	236
Mindenható Úr Isten, mi bűnös emberek	213
Mindenkoron áldom	34
Mindenkoron áldom az én Uramat	254
Mindennek előtte irgalmasságról	101
Minket, Úr Isten, elhagyál	60
Mint a szép híves patakra	42
Mint Isten akarja, legyen	271
Mire bánkódol ó te én szívem	267
Mire távozol tőlünk Úr Isten	10
Mit dicsekedel gonoszságban	52
Mondjatok dícséretet	196
Mostan ti hatalmasok	29
	
Nagy az Úr, ki fényes házát építette	249
Nagy az Úr méltóságában	48
Nagy hatalmával regnál az Isten	93
Nagy hálát adjunk az Atya Istennek	225
Nagy hálát adjunk, kegyes Atyánk, néked	508
Nagy kegyesen től Uram, földeddel	85
Ne bosszankodjál a gonosztévőkre	37
Ne csüggedj el, kicsiny sereg	393
Ne hagyj elesnem, felséges Isten	257
Ne jöjjön addig szememre álom	509
Ne szállj perbe én velem	205
Nem nekünk, Uram, nem nekünk engedd	115
Nem sokáig tart már földi bujdosásom	411
Nem vagyunk mi magunkéi	173
Néked mennyei Atyánk, hálát adunk	507
Nékünk születék mennyei Király	282
No dícsérjétek mindnyájan	148
No minden népek, örvendezzetek	47
Nosza istenfélő szent hívek	33
	
Ó Atya Isten, irgalmas nagy Úr	168
Ó Ábrahám Ura	425
Ó áldandó Szentháromság	210
Ó áldott Szentlélek, ki az ég dicsőségével	376
Ó ártatlanság Báránya	335
Ó dicsőségnek felkent fejedelme	292
Ó erős bosszúálló Isten	94
Ó én két szemeim, ti az Úrra nézzetek	240
Ó én Uram és én Istenem	7
Ó én Uram, ki erőt adsz énnékem	18
Ó felséges Úr, egek királya	481
Ó felséges Úr, mi kegyes Istenünk	8
Ó irgalmas Isten	478
Ó Isten, ki a törődött	334
Ó Istennek választott kedves népe	444
Ó Jézus, árva csendben	457
Ó Jézus, mi idvességünk	437
Ó jöjjetek hívek	327
Ó könyörgést meghallgató	480
Ó Krisztus, láttam szenvedésed	343
Ó Krisztusfő, te zúzott	341
Ó lelkem szent napsugara	510
Ó maradj kegyelmeddel	200
Ó mely boldog az oly ember éltébe’	32
Ó mely boldog az oly ember éltében	424
Ó mely boldog ember az	153
Ó mely sokan vannak	3
Ó mennyeknek fényessége	222
Ó mi kegyelmes Krisztusunk	291
Ó népeknek Megváltója	302
Ó örök hatalmú mennyei szent Isten	402
Ó seregeknek hatalmas királya	297
Ó seregeknek Istene	84
Ó Sion ébredj, töltsd be küldetésed	397
Ó Úr Isten, én dicsőségem	109
Ó Úr Isten, légy közöttünk	155
	
Örök élet reggele	489
Örök Isten, kinek esztendők	285
Öröködbe, Uram, pogányok jöttek	79
Örülj szívem, vígadj lelkem	436
Örülök az én szívembe’	122
Örvendj mi szívünk	163
Örvendez, Uram, a király	21
Örvendezzen már e világ	330
Örvendezzetek az erős Istennek	81
Örvendezzetek egek	348
Örvend egész föld az Istennek	66
Örvendjetek keresztyének	324
	
Paradicsomnak te szép élő fája	337
Perelj Uram perlőimmel	35
