432	Nyájasan, gyengéden	
278	Nyájas világ	
		
279	Od'adtam életem	
489	Olvasd egyre	
280	Oly szép a Jézus	
281	Ott a messze földön	
515	Ó adj nékünk	
282	Ó Ábrahám Ura	
283	Ó áldott nap	
284	Ó Betlehem kis	
287	Ó boldog nap	
285	Ó csak levél	
286	Ó egy a szükséges	
288	Ó fogd kezem	
289	Ó forrongó, gazdag	
290	Ó hadd szeresselek	
291	Ó halld te zaklatott	
292	Ó hála az Úrnak	
293	Ó hogyha tudnád	
294	Ó hogyha tudnád, ki az	
295	Ó hogy volt idő	
296	Ó jertek, zengjünk	
297	Ó Jézus, amikor	
298	Ó Jézus, árva	
299	Ó Jézus, drágább	
300	Ó Jézusom, mi édesen	
301	Ó jöjjetek, hívek	
302	Ó jöjjetek, kik	
488	Ó jöjjetek mind	
303	Ó jöjjetek, örvendjetek	
304	Ó jöjjön el, Urunk	
314	Ó jöjj szívembe	
490	Ó mily boldog ember	
305	Ó mi hű barátunk	
306	Ó miként fogadjalak	
307	Ó nagy Isten, vezess	
308	Ó ne félj, ne rettegj	
309	Ó ne menj el tőlem	
310	Ó nézd ajtódnál	
311	Ó nézd, ki gondtalan	
515	Ó nyissad meg majd	
312	Ó segíts Jézus	
313	Ó Sion ébredj	
315	Ó terjeszd ki	
316	Ó Urunk Jézus	
317	Ó vérző drága	
491	Ó vigyázz kicsi	
		
442	Öröm van a mennyben	
318	Örülj föld és örülj ég	
		
319	Pásztorként vezetni	
492	Pázsitdombon	
320	Porból kiáltok	
		
321	Rajta fel Krisztusért	
322	Rád tekint már hitem	
323	Rólad szól énekem	
493	Rút volt szívem	
		
324	Semmi sem kívánok	
433	Semmim sem lenne	
325	Semmit ne bánkódjál	
509	Senki sem tanít	
326	Siessetek, hamar	
348	Sújtson bár próba	
327	Súlyos napokban	
494	Sűrű erdő mélyén	
		
495	Száz juhocskám	
328	Szegény szívünk	
329	Szelíd szemed	
330	Szent bizonyosság	
331	Szent győzedelmes	
332	Szentlélek Isten	
333	Szent országodat	
334	Szent, szent az Úr	
335	Szent, szent, szent	
336	Szent Úrnak és	
337	Szent vagy, szent vagy	
510	Szenvedésben	
338	Szerelmes Jézus	
339	Szeretni vágyom	
340	Széjjeljártam	
341	Szép rózsabimbó	
342	Szépséges Jézus	
496	Sziklára rakd	
343	Szíved békétlen	
497	Szívemben napsugár	
443	Szívemben öröm dalol	
344	Szívem királya	
515	Szívem örömmel	
345	Szívünk egészen	
498	Szívünk zengje már	
499	Szoros kapu, keskeny	
346	Szólj, szólj hozzám	
347	Szól Uram, mert	
511	Szólj Uram, szólj	
515	Szólnak a harangok	
		
444	Találsz-e boldog	
349	Taníts Uram	
350	Tarts vérző oldaladnál	
351	Te adj Uram ma új	
352	Tebenned bíztunk	
354	Te légy velem	
355	Teljesen a tied	
515	Terád vár bús szívem	
356	Teremtő Istenünk	
357	Testvérek föl tehát	
358	Testvérek, lépjünk	
359	Testvérek, menjünk	
360	Te vagy napvilágom	
361	Tégy foglyoddá Uram	
512	Tégy Uram engem	
362	Térj magadhoz	
363	Tiéd az ügy	
364	Tiéd örökre	
365	Tiéd vagyok, ó hála	
366	Tiszta égi béke	
367	Tisztísd meg szíved	
368	Több szentséget	
500	Tudod-e, miért	
501	Tudod, hogy hány	
369	Tudom, az én Megváltóm	
370	Tündöklő hajnali	
371	Tündököl az Úr kegyelme	
353	Tüzed Uram Jézus	
		
513	Uram Isten siess	
372	Uram maradj velem	
373	Uram mindent elhoztam	
374	Uram, mindent eltékozoltam	
375	Uram, ó add ha	
376	Uarm, segíts	
377	Uram, Te jól	
378	Uram, Te, ki békét	
		
379	Úgy kutattuk a homályban	
514	Új szívet adj	
380	Úr Jézus, nézz le rám	
386	Úr Jézus, szent	
515	Úr Jézus, Úr Jézus	
381	Úr lesz majd Jézus	
382	Üdvözítőm, drága Jézus	
383	Üres kézzel kell-e	
384	Űzd el a kísértőt	
		
502	Van a mennyben	
385	Van-e hely Jézus számára	
387	Van még hely ott	
388	Van még számomra	
389	Van örök kincsünk	
390	Vágyol-e elhagyni	
391	Vágyom melletted	
392	Vándor áll ajtód előtt	
393	Vándorútam	
394	Várj ember szíve lelke	
396	Velem vándorol	
515	Vége van már	
397	Végig megálld	
398	Vigyázzatok, azt	
399	Világíts nékem Jézus	
400	Vonj öröm és	
401	Vonj Uram, vonj engemet	
		
503	Zákeus oly kicsike	
402	Záporként hull majd	
		(hiba, nincs benne: 403 Zengd Jézus nevét)
445	Zengjen az ének	
395	Zengjen hálaének	
